id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
3e39bdf0-ff6a-477c-a0e1-bb29eae98f57,"Die in a fire, nobody will miss you. You are absolutely disgusting and should be ashamed.",1,0,0,0,0,0
39a702aa-d86a-42f2-8551-3b61779c435f,"Burn in hell you horrible excuse for a human. You make me sick, absolute scum of the earth.",1,0,0,1,0,0
5a18345b-6b43-4f4e-a27f-0e905403acec,"You make me sick, absolute scum of the earth. Burn in hell you horrible excuse for a human.",1,0,0,0,1,0
1460bb3d-8d04-4434-be89-e1434a6b2357,"Great point, I hadn't considered that angle before. Interesting read, bookmarking this for later.",0,0,0,0,0,0
4e1198b1-539e-4060-ae6c-82a52691f567,Burn in hell you horrible excuse for a human. Go away you worthless piece of trash.,1,1,1,0,1,0
8fdeb380-6af7-429a-a411-d334328ade1e,"This research seems solid, the methodology looks sound. Could you explain more about how this works in practice?",0,0,0,0,0,0
6bd9b4ea-3c33-462a-b50d-f0fc14d71fa4,"You make me sick, absolute scum of the earth. Die in a fire, nobody will miss you.",1,0,1,0,1,0
5b05af4d-4fc4-4c26-b193-f1f6a05bee05,"Shut up you stupid fool nobody wants your opinion. Die in a fire, nobody will miss you.",1,0,1,0,1,0
52a7871a-8917-4a1e-b5df-5fe31c28dc8b,Appreciate the detailed breakdown of the issue. I think this policy has some interesting trade-offs worth discussing.,0,0,0,0,0,0
dbc4fc20-efa6-4dc3-9302-a9b054c37c8f,"I hate people like you, get out of here. This is the worst garbage I have ever read, idiots.",1,0,0,0,1,0
63c4face-b1ad-40ce-ae2d-b93dccad1267,"This research seems solid, the methodology looks sound. This research seems solid, the methodology looks sound.",0,0,0,0,0,0
467e8ce7-f1e9-4d8b-b618-08104002013f,I think this policy has some interesting trade-offs worth discussing. Could you explain more about how this works in practice?,0,0,0,0,0,0
4a35d951-0bb7-427d-a01d-ed2256dcf92d,Looking forward to seeing how this develops over time. I think there's a middle ground we're not seeing yet.,0,0,0,0,0,0
29bc2668-6e3e-453e-8da8-888df78ed8eb,"Good explanation, very clear and easy to follow. Interesting read, bookmarking this for later.",0,0,0,0,0,0
a3accc9e-2631-46d0-8923-bcbd24d31b61,"This research seems solid, the methodology looks sound. Has anyone else tried this approach and seen similar results?",0,0,0,0,0,0
89013326-a96d-4655-b0a5-5716f63e96e1,"Thanks for sharing, really enjoyed reading this perspective. This matches my own experience working in this area.",0,0,0,0,0,0
959842be-f781-49b9-a5c7-ed16caaccf31,"Go away you worthless piece of trash. What a pathetic loser, crawl back to your cave.",1,0,1,0,1,1
0013ea49-4d97-4685-932a-e780cec1da31,"I hate people like you, get out of here. Burn in hell you horrible excuse for a human.",1,0,1,0,1,0
cb7d04ee-fc54-4c86-be89-679f496a0f1a,Has anyone else tried this approach and seen similar results? I think this policy has some interesting trade-offs worth discussing.,0,0,0,0,0,0
60b2948f-aa1a-4c9a-9440-da16f5d658f0,"Looking forward to seeing how this develops over time. Great point, I hadn't considered that angle before.",0,0,0,0,0,0
dd7afb48-1ac6-4e6d-8dc2-0d3905b11cf2,"This is the worst garbage I have ever read, idiots. This is the worst garbage I have ever read, idiots.",1,0,1,0,0,0
